      USER	   PID	COMMAND
     anjun	 24781	WeChat
     anjun	 24793	VirtualBoxVM
      root	 24866	mediaremoted
     anjun	 24876	soagent
      root	 24887	WirelessRadioMan
      root	 24888	awdd
      root	 24892	ocspd
      root	 24894	sysmond
      root	 24898	spindump
     anjun	 24899	spindump_agent
      root	 24900	coresymbolicatio
     anjun	 24906	networkservicepr
      root	 24960	com.apple.CodeSi
      root	 24969	com.apple.geod
      root	 24970	secinitd
      root	 24988	amfid
     anjun	 25088	iconservicesagen
_iconservi	 25089	iconservicesd
     anjun	 25209	CalNCService
      root	 25244	systemsoundserve
      root	 25245	com.apple.audio.
     anjun	 25378	akd
     anjun	 25658	com.apple.speech
     anjun	 25886	Google Chrome He
     anjun	 25949	pbs
     anjun	 25972	Google Chrome He
_softwareu	 26064	softwareupdated
     anjun	 26065	mapspushd
     anjun	 26067	suggestd
     anjun	 26068	parsecd
     anjun	 26069	photoanalysisd
     anjun	 26071	com.apple.geod
      root	 26072	sandboxd
      root	 26074	suhelperd
      root	 26075	mobileassetd
     anjun	 26082	softwareupdate_n
     anjun	 26551	Google Chrome He
     anjun	 27107	Google Chrome He
      root	 28786	bootpd
     anjun	 28845	iTerm2
      root	 28846	login
      root	 28847	com.apple.Accoun
     anjun	 28848	zsh
     anjun	 29044	mdworker
     anjun	 29424	mdworker
     anjun	 29426	mdworker
     anjun	 29427	mdworker
     anjun	 29429	Sublime Text
     anjun	 29438	plugin_host
     anjun	 29659	quicklookd
     anjun	 29932	pidof
